"x"
"Il1rapl2"
"Gm32647"
"Il1rapl1"
"Erbb4"
"Brinp3"
"Lrrtm4"
"Cfap299"
"6530403H02Rik"
"Hs3st4"
"Csmd3"
"March1"
"Pkp1"
"Plxdc2"
"Slco1a4"
"Zfp804b"
"Car10"
"Pcdh7"
"Nxph1"
"9330185C12Rik"
"Mecom"
"Cep112"
"Atp13a5"
"Gm34544"
"Cntn3"
"Htr2c"
"Ebf1"
"Lrrc4c"
"Kirrel3"
"Gpc5"
"Kcnd2"
"Prkg1"
"Grik1"
"Flt1"
"Hmcn1"
"Rtl4"
"Tafa2"
"Scn9a"
"Gm16161"
"Kcnq5"
"Lef1"
"Ikzf1"
"Tafa1"
"Xist"
"Prr5l"
"Sgcz"
"Dqx1"
"Htr1f"
"Ly86"
"Gpr101"
"Adgrl4"
"Cfh"
"Proc"
"Nrp1"
"Gm37267"
"Lhfpl3"
"Cartpt"
"Trpm3"
"Inpp5d"
"Gm13822"
"Ptpn20"
"Sfmbt2"
"Ctss"
"Dscaml1"
"Tshz2"
"Plcb1"
"Gm9573"
"Mbp"
"Sema3a"
"Gm26760"
"Gm49938"
"Nkain3"
"Gm26737"
"Syndig1"
"Fli1"
"Mkx"
"Nfia"
"Nell1"
"St18"
"Kctd16"
"Sox2ot"
"Hcn1"
"Rora"
"Il1r1"
"Col5a2"
"Slc25a48"
"Slco2b1"
"Foxp2"
"Pex5l"
"Fyb"
"Trpc5"
"Rnf17"
"Mobp"
"Runx1"
"Arhgap15"
"Dcc"
"Nnat"
"Dach1"
"Gm3764"
"Tacr3"
"Zfp804a"
"Vtn"
"Colec12"
"Rgs6"
"Gm13481"
"Gm10790"
"Diaph2"
"Rorb"
"Spag16"
"Lhfp"
"Uty"
"Etl4"
"Sox6"
"Sema3d"
"Gm13912"
"Chrm2"
"Pitpnc1"
"Csf1r"
"Tex21"
"Chsy3"
"Olfr1369-ps1"
"Ncam2"
"Dleu2"
"Shisa9"
"D7Ertd443e"
"Gm32916"
"Siglech"
"Dchs2"
"Col8a1"
"C330021F23Rik"
"Abcc9"
"Dpp10"
"Egfr"
"Epha3"
"Mei4"
"Grm1"
"Lama2"
"Gabrg3"
"Tnr"
"Cfhr1"
"Casp8"
"Cntnap5b"
"Scg2"
"Gm44593"
"Rgs5"
"Eya1"
"Tshr"
"Caln1"
"Gm30524"
"Fosb"
"Gm32828"
"Myo1h"
"Gm32004"
"8030442B05Rik"
"Zfpm2"
"Cxcl12"
"Pcdh11x"
"Cdh20"
"Gpc3"
"Zeb2"
"Atp10a"
"Gem"
"Ankrd36"
"Prkce"
"Ntm"
"Dnase1l3"
"Gm15962"
"A230001M10Rik"
"Eda"
"Mertk"
"Tmem132b"
"4930534H03Rik"
"Sema3c"
"Fam178b"
"Lmx1a"
"Adgrf5"
"Cadps2"
"Adamtsl1"
"Kitl"
"Rubcnl"
"Cenpf"
"Pde3a"
"Tmem132d"
"Eif2s3y"
"Vwc2"
"Aldh1a1"
"Rapgef5"
"D5Ertd615e"
"Gm26787"
"Gm30624"
"AU020206"
"Gfra1"
"9530026P05Rik"
"Entpd1"
"Epha6"
"Cdh1"
"Gm35330"
"Gm49171"
"Ptprc"
"Gm41333"
"Cldn5"
"Col12a1"
"Cpne4"
"Gm20757"
"Nfib"
"Dab2"
"Gm15155"
"Opcml"
"Ptprk"
"Nol4"
"Chrm3"
"4930469K13Rik"
