gene,std
0610040B10Rik,1.7722318224671947
0610040J01Rik,1.754063319468605
0610043K17Rik,1.783034602820808
1110002L01Rik,1.7312262722864762
1110017D15Rik,1.8279305591938282
1110019D14Rik,1.7761415308590036
1110046J04Rik,1.7569642661465734
1500009L16Rik,1.6780627878759977
1600020E01Rik,1.8916520653577782
1700016P03Rik,1.6724076041913247
1700024B18Rik,2.330280098547955
1700029J07Rik,1.7388807700771631
1700066B19Rik,1.9652685121218338
1700084C06Rik,1.73507185762529
1700087I21Rik,1.7056588492772662
1700088E04Rik,1.7287839191072878
1700123M08Rik,1.6825079976375756
2010300C02Rik,1.7348144456479189
2310016D03Rik,1.8301014711575831
2310058D17Rik,1.7217514600408352
2410004B18Rik,1.7000777377227219
2510039O18Rik,1.7622265773188797
2610002M06Rik,1.8928130009836663
2610021A01Rik,1.7901396866033086
2610044O15Rik8,1.5927632423801277
2610316D01Rik,1.850428557397861
2700049A03Rik,1.774238158786056
2700069I18Rik,1.7711245998141543
2810032G03Rik,1.7497357065976906
2810403D21Rik,1.739224470796372
2810405F17Rik,1.738771833620061
2900060N12Rik,1.7551893334514526
3110083C13Rik,1.7498617567755188
3300002I08Rik,1.887748202467903
4430402I18Rik,1.7438511953161941
4632404H12Rik,1.7700541574298525
4921524J17Rik,1.7799976230944952
4930412C18Rik,1.7480672264571175
4930428E07Rik,2.0249604932240888
4930430F08Rik,1.751863725548643
4930432B10Rik,1.7412233917191022
4930444A19Rik,1.7419592075250074
4930447C04Rik,1.9122692635949692
4930452B06Rik,1.533926612951798
4930453N24Rik,1.7625876966581984
4930488L21Rik,1.7560938137423858
4930503L19Rik,1.7526841283740149
4930509J09Rik,1.7705832480775046
4930517O19Rik,1.6263895711298
4930571N24Rik,1.7452657454896112
4930579K19Rik,1.730583220475089
4930598N05Rik,1.75058425055223
4931415C17Rik,1.7315280169151364
4933406C10Rik,1.7355256977907898
4933424G05Rik,1.8072382663397952
5033406O09Rik,1.7309541282482999
5330439K02Rik,1.7277995646759143
5730522E02Rik,1.7253722273590808
6030443J06Rik,2.0135407785723234
6230400D17Rik,1.9753168311307292
6330411D24Rik,1.7794522187773325
6530401F13Rik,1.6521996748717662
6530403H02Rik,1.9385607683085258
8030451O07Rik,1.7468066956205677
8430429K09Rik,1.7112068887582734
9230112J17Rik,1.7333930476634476
9330117O12Rik,1.7566750208412218
9530051G07Rik,1.9162475454579642
9530062K07Rik,1.84253093405911
9530077C05Rik,1.7486955271056703
A230056P14Rik,1.7418295029714324
A230072E10Rik,1.7353747692823798
A230087F16Rik,1.8045125140262381
A330040F15Rik,1.7609777753305524
A330102I10Rik,1.7490753368135625
A430010J10Rik,1.831177171258375
A430033K04Rik,1.745034752013572
A530072M11Rik,1.751707180863327
A630089N07Rik,1.7359631318931772
A730056A06Rik,1.814566704795182
A730081D07Rik,1.740745203845267
A830018L16Rik,1.8027593061149076
A930005H10Rik,1.7828596229751426
A930007I19Rik,1.7392137609339926
AC149090.1,1.7635443038478562
AI413582,1.710502443409043
AU022252,1.7625260167226806
AU041133,1.7546739422868571
Aamdc,1.7552226534937831
Aar2,1.8574987611860339
Aasdh,1.7241934218298585
Abca13,1.7026477637925035
Abcb1b,1.7166019587041075
Abcb7,1.7351005428111472
Abcb9,1.8019485123777947
Abcc8,1.829802676800656
Abcg1,1.7738293380624557
Abhd3,1.8390760740738772
Abhd4,1.7617485011031664
Abhd5,1.7302702365663536
Abitram,1.762690459790766
Abraxas2,1.7562970044820252
Acaa1a,1.7872166618438634
Acacb,1.7417845967202155
Acad10,1.7507126712367886
Acad8,1.744618003827497
Acap3,1.6704852420909315
Acat2,1.8325196256556207
Acot11,1.7295430728518997
Acot13,1.7655904586527171
Acot9,1.7316408105359935
Acsl5,1.7427934591615397
Actl6a,1.6520467345375944
Actn1,1.7356590478331293
Actn2,1.7070881426139835
Actr6,1.7822308267732572
Adal,1.7492698712883403
Adam15,1.7276965322956797
Adam32,1.7121453037926697
Adamts18,1.731119231151195
Adamts2,1.7719475626756986
Adamtsl2,1.7398743845853404
Adat1,1.5498853571201545
Adcy1,1.7833028539483873
Adcy3,1.675686588347215
Adcy8,1.722313383350725
Adgra3,1.7422265404480584
Adgrl2,1.76365914165293
Adgrv1,1.7186524552644105
Adra1a,1.7925548249492427
Aff1,1.825520854436296
Agbl1,1.7286461498536034
Agfg2,2.1257611368972267
Agtr1a,1.8417618097965291
Ahr,1.6436632812796836
Aifm3,1.7180956900795494
Airn,1.757421563756331
Aldh1l2,1.755100095491266
Aldh5a1,1.7613559592882382
Aldh6a1,1.7471179163436468
Aldh9a1,1.738579072287609
Aldoc,1.7099323024796522
Alg13,1.7414360916345843
Alg14,1.6922150567473448
Alg2,1.727211815518711
Alg6,1.7695689597372655
Alg8,1.604757222906857
Alkal2,1.7461556724326766
Alkbh2,1.627338293244291
Alkbh5,1.7462522720038296
Amd1,1.7335340995667952
Amigo2,1.7144262457598716
Amotl1,1.7346169289357354
Anapc11,1.7463004377793847
Angpt2,2.1316260459892304
Ankrd26,1.627355073257108
Ankrd33b,1.749807860934502
Ankrd34c,1.728047180504825
Ankrd49,1.7627104598525651
Ano1,1.8343119736801996
Anp32a,1.976044625167621
Aoah,1.7385077310461083
Ap1s1,1.7533513563626024
Apaf1,1.763395354105348
Aph1b,1.7628609006112963
Apip,1.7818774096999523
Apod,1.7375711510954674
Apol10a,1.7460787218149023
Ar,1.7315728274402915
Arap2,1.7592404478454318
Arhgap10,1.736490930801167
Arhgap15,1.5907051976758464
Arhgap42,1.8016081843925154
Arhgap6,1.7469760079731196
Arhgdig,1.7368339300770144
Arhgef10,2.1334338228961958
Arhgef25,1.8064627805951126
Arhgef33,1.798908201597256
Arhgef4,1.9102776830630517
Arid3a,1.76960616956376
Arid3b,1.7571126732293403
Arl4a,1.723042284779501
Arl4c,1.7642537520832733
Arl6ip6,1.7286404125339876
Armcx4,1.7856366887791366
Arpc3,1.7884139147262863
Arpp21,1.6665621112123834
Arsk,1.7832632827809831
Asah2,1.681819787533581
Asb13,1.7882048840324587
Asb4,1.8408826148126072
Asb8,1.7717134730231194
Ascc1,1.7848856236499957
Ass1,1.8280281818776964
Aste1,1.7633530433062026
Atad2,1.7238217619271141
Atad5,1.7364192268252638
Atg14,1.7800186882824496
Atg4d,1.8232542220442105
Atic,1.7319353143699523
Atox1,1.7214067212875175
Atp1a2,1.7370919702663241
Atp2b3,1.725829183105209
Atp8b4,1.7364152573700202
Atp8b5,1.7145947157489752
Aven,1.6743278406105602
B130034C11Rik,1.6864488693291844
B230216N24Rik,1.7454016760876288
B230217C12Rik,1.7843163882930928
B230307C23Rik,1.551690921223061
B230312C02Rik,1.7435945424936463
B230334C09Rik,1.904124730279465
B230369F24Rik,1.7487298022166726
B3galnt1,1.7478325345487478
B3galt2,1.7436181133981083
B3gat2,1.738139428802045
B3gntl1,1.758678356691229
BC002059,1.711800179930303
BC065397,1.862037240181406
BC067074,2.05174258197455
Bag1,1.6016344794373547
Bag2,1.768754627107712
Bag4,1.740031988256097
Bcar3,1.812503353681221
Bcas1,1.7519454907379377
Bche,1.737393584022884
Bcl2,2.078395653973636
Bcl7c,1.7414780324319474
Bcor,1.7282957683081914
Bcorl1,1.7525264356053318
Bcs1l,1.7412243672297336
Bdh1,1.7554444882380693
Bdnf,1.7257436561793031
Bet1,1.7323844115433396
Bex1,1.742966648265736
Bex3,1.7470222503509936
Bicc1,1.7422596519742846
Bin3,1.7582924695823081
Blcap,1.672492547629301
Blm,1.908902744583267
Bmper,1.7029624420363576
Bnip3,1.761576455527522
Bola3,1.6991648810035893
Borcs7,1.7994222317102915
Bphl,1.7517397752041042
Bri3,1.729705117238297
Brinp2,1.7399687729130087
Brinp3,1.7488183431504392
Brpf1,1.752686048509244
Brpf3,2.262829363744062
Brwd3,1.5331143132256153
Btg1,1.7189524390013
C030034I22Rik,1.735322088842471
C030034L19Rik,1.7190863910568144
C030047K22Rik,1.8273804494579873
C1d,1.5562021218566395
C1galt1,1.8091623578117675
C230037L18Rik,1.6659732807161736
C330007P06Rik,1.7165683765232864
C330018D20Rik,1.8235603621212453
C9orf72,1.7392653237604014
CAAA01118383.1,1.7258281645236473
Cabcoco1,1.7848918583218234
Cadps2,1.7497883682918387
Cage1,1.6903442291738895
Calca,1.9325922983415043
Cald1,1.9408018678174472
Camk2n1,1.8301513978542416
Caprin2,1.9653949023215407
Car2,1.8276033847380828
Carnmt1,1.7378894071344009
Casp8ap2,1.911060187429832
Catsper2,1.6763445799822543
Cbfb,1.7267011251179656
Cbll1,1.7406703377711725
Cbwd1,1.748880176514584
Cbx7,1.7361600801102222
Ccdc141,1.7730023074367152
Ccdc171,1.6258806958627268
Ccdc173,1.8800291855082005
Ccdc187,1.791950919890898
Ccdc25,1.7834397252104084
Ccdc34,1.7689325071184214
Ccdc57,1.744134959939914
Ccdc58,1.75694888650335
Ccdc74a,1.7865188076314584
Ccdc77,1.8405233263674985
Ccdc88c,1.7284468236850057
Ccdc92b,1.85529800151216
Cd164,1.754527701943358
Cd55,1.8122969268338394
Cd59a,1.773714576934103
Cda,1.942159756736492
Cdh12,1.7438298637111174
Cdh20,1.7683673848792092
Cdh4,1.7440229377795347
Cdh7,1.7208712912006587
Cdh9,1.7561686256040423
Cdk19,1.6766681936500227
Cdk5rap2,1.7351187752255433
Cdkl5,1.690319108201331
Cdkn2aip,1.709293472507005
Cdr2,1.7541234100869145
Cds1,1.7468593886218802
Cdyl,1.6442426875883769
Cebpz,1.7425398027856849
Cemip,1.7404111751259486
Cemip2,1.6876847187402375
Cenpp,1.7215991256046566
Cep112,1.7415125833980434
Cep19,1.6908711053564915
Cep57l1,1.7285055199228687
Cep83os,1.7260352424292709
Cep85,1.842216670188067
Cep85l,1.762621812908779
Cep97,1.787144955568192
Cerkl,1.7284585549827163
Cetn4,1.6916077413696937
Cfap206,1.7106446077136257
Cfap299,1.714115589270232
Cfap44,1.717157265482826
Cfap46,1.7475621421495735
Cfap47,1.7674523665585309
Cfap61,1.9416205472882728
Cfap97,1.7759049546855477
Cggbp1,1.7467182343205878
Cgref1,1.75338173215425
Cgrrf1,2.123642394710612
Chac2,1.7552840434912365
Champ1,1.7870567581674477
Chchd10,1.7327195304465124
Chchd2,1.7332241248729003
Chchd4,1.9456246437146252
Chd3,1.8785374679377087
Chd7,1.6845071063252357
Cherp,1.5505456214589763
Chrna6,1.758922645560162
Chst12,1.8449306153685494
Chsy1,1.7028195437836353
Chsy3,1.7377282123223812
Cisd1,1.7747727997672937
Ckmt1,1.741932413594645
Cldn12,1.616589506450507
Cldn34c1,1.7564276543339492
Clgn,1.8981270895287699
Clptm1l,1.74518130053517
