gene,std
Xist,3.318265499277989
Uty,2.6396175537602886
Zfp804b,2.5551607563616123
Htr2c,2.542176156245145
Eif2s3y,2.472487460684834
Rtl4,2.4400165961790203
Pcdh7,2.4399849293054707
Lrrtm4,2.435654396224347
Gm32647,2.346487813565474
Kcnq5,2.330280098547955
Il1rapl1,2.294811843315635
Tshz2,2.262829363744062
Kdm5d,2.259176701553496
Tsix,2.1909955363148113
Kcnd2,2.16935589605682
Diaph2,2.168047466119391
Tmem132d,2.148643494095014
Zfp804a,2.1334338228961958
Arhgap15,2.1316260459892304
Etl4,2.1257611368972267
6530403H02Rik,2.123642394710612
Cep112,2.113771815254973
Eda,2.1040176143751212
Dach1,2.094729097318758
Egfr,2.092478478146323
Shisa9,2.091692122798036
Syndig1,2.078395653973636
5730522E02Rik,2.071734056193386
Cpne4,2.0710591690164217
Gm15155,2.0707852300861798
Pde1c,2.0698619136666543
Nol4,2.0661197268760785
Zfpm2,2.0632719534039685
Tmem132b,2.060595235769346
Gpc5,2.053382476073375
Plcb1,2.05174258197455
Il1rapl2,2.0493214048207253
Cadps2,2.0355252234676633
Lama2,2.029876667296648
Kirrel3,2.0262790736645204
Spag16,2.0249604932240888
Rgs6,2.0186361744046115
Cntnap5b,2.0135407785723234
Hcn1,2.010188187825551
Ust,2.0017537522509357
Ddx3y,2.000733105793142
Pou6f2,2.000084646052871
Ar,1.997517996052012
Grin3a,1.9949006221370342
St6galnac3,1.9900614391984564
Mef2c,1.9893340594411002
Prrg1,1.9873391198733266
Gm2762,1.9838646701501117
Slc38a11,1.976044625167621
Cdh20,1.9753168311307292
Lncenc1,1.9742934592538024
Stxbp5l,1.9723169654106918
Lhfpl3,1.9721935513468896
Nox4,1.9659857431745038
Setbp1,1.9657924724122253
Kcnmb2,1.9653949023215407
Khdrbs2,1.9652685121218338
Tle4,1.964497357907885
Gm41333,1.9644923879115352
Sox5,1.963724864577058
Epha7,1.963333657245395
Arhgap6,1.9603540936233317
6330411D24Rik,1.957070401581787
Sema3c,1.954191251359428
Lrrc36,1.9516284220387337
Parm1,1.9497488260923421
Pde8b,1.9483242804996457
Prr16,1.9468644674360924
Gm32442,1.9462249802702078
Synpo2,1.9456246437146252
Gm10649,1.9446045657287434
Col8a1,1.944283808529199
Gm41804,1.9429038655180428
Pdgfc,1.942159756736492
Vav3,1.9416205472882728
Tnik,1.9408018678174472
Dock11,1.9397153915014778
Bcl2,1.9385607683085258
Adgrl2,1.93568948683442
Cyp7b1,1.9325922983415043
Gng12,1.930804549099473
Airn,1.9292762807963553
Cfap47,1.924202516742558
St8sia2,1.923694868640981
Chsy3,1.922219882305942
Mamdc2,1.921017689131827
Gabrg3,1.9199651125569042
Prdm5,1.919862645857863
Cdh12,1.9197338685550038
Cabcoco1,1.9181551353981683
Colec12,1.917437204721364
Csgalnact1,1.917107141384825
Map3k19,1.9162475454579642
Gm960,1.914985456929187
Cenpp,1.9149349885696456
Ano1,1.9142344919686627
Elf1,1.913897662440488
Epha4,1.9122692635949692
Pex5l,1.911060187429832
Lrrc4c,1.9102776830630517
Sntg2,1.9097230028198848
Nnat,1.908902744583267
Tcf4,1.908459035535897
Esr1,1.907249294315735
Glis3,1.906013164376281
Clybl,1.9058376161739052
Asb4,1.9051672504712205
